Spacecraft: CubeSat

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
22 Jul 2014 11:29:10.811    22 Jul 2014 11:30:25.528      74.717249314    Earth           Umbra       1             83.827952889
22 Jul 2014 11:30:25.528    22 Jul 2014 11:30:34.639      9.1107035754    Earth           Penumbra    1             83.827952889
22 Jul 2014 12:33:26.503    22 Jul 2014 12:33:35.660      9.1563804424    Earth           Penumbra    2             2084.4495587
22 Jul 2014 12:33:35.660    22 Jul 2014 13:08:01.851      2066.1916378    Earth           Umbra       2             2084.4495587
22 Jul 2014 13:08:01.851    22 Jul 2014 13:08:10.953      9.1015404789    Earth           Penumbra    2             2084.4495587
22 Jul 2014 14:11:02.078    22 Jul 2014 14:11:11.225      9.1471378226    Earth           Penumbra    3             2085.1374441
22 Jul 2014 14:11:11.225    22 Jul 2014 14:45:38.123      2066.8983256    Earth           Umbra       3             2085.1374441
22 Jul 2014 14:45:38.123    22 Jul 2014 14:45:47.215      9.0919807088    Earth           Penumbra    3             2085.1374441
22 Jul 2014 15:48:37.603    22 Jul 2014 15:48:46.741      9.1377745033    Earth           Penumbra    4             2085.8170032
22 Jul 2014 15:48:46.741    22 Jul 2014 16:23:14.338      2067.5970340    Earth           Umbra       4             2085.8170032
22 Jul 2014 16:23:14.338    22 Jul 2014 16:23:23.420      9.0821946273    Earth           Penumbra    4             2085.8170032
22 Jul 2014 17:26:13.133    22 Jul 2014 17:26:22.261      9.1284771916    Earth           Penumbra    5             2086.5098866
22 Jul 2014 17:26:22.261    22 Jul 2014 18:00:50.570      2068.3090188    Earth           Umbra       5             2086.5098866
22 Jul 2014 18:00:50.570    22 Jul 2014 18:00:59.642      9.0723906294    Earth           Penumbra    5             2086.5098866
22 Jul 2014 19:03:48.679    22 Jul 2014 19:03:57.798      9.1194772278    Earth           Penumbra    6             2087.2249897
22 Jul 2014 19:03:57.798    22 Jul 2014 19:38:26.841      2069.0427121    Earth           Umbra       6             2087.2249897
22 Jul 2014 19:38:26.841    22 Jul 2014 19:38:35.904      9.0628003702    Earth           Penumbra    6             2087.2249897
22 Jul 2014 20:41:24.131    22 Jul 2014 20:41:33.242      9.1101981467    Earth           Penumbra    7             2087.9260109
22 Jul 2014 20:41:33.242    22 Jul 2014 21:16:03.004      2069.7627274    Earth           Umbra       7             2087.9260109
22 Jul 2014 21:16:03.004    22 Jul 2014 21:16:12.057      9.0530853253    Earth           Penumbra    7             2087.9260109
22 Jul 2014 22:18:59.597    22 Jul 2014 22:19:08.698      9.1008407995    Earth           Penumbra    8             2088.6323011
22 Jul 2014 22:19:08.698    22 Jul 2014 22:53:39.186      2070.4880693    Earth           Umbra       8             2088.6323011
22 Jul 2014 22:53:39.186    22 Jul 2014 22:53:48.229      9.0433910256    Earth           Penumbra    8             2088.6323011
22 Jul 2014 23:56:35.095    22 Jul 2014 23:56:44.186      9.0911424137    Earth           Penumbra    9             2089.3154940
22 Jul 2014 23:56:44.186    23 Jul 2014 00:31:15.377      2071.1908843    Earth           Umbra       9             2089.3154940
23 Jul 2014 00:31:15.377    23 Jul 2014 00:31:24.411      9.0334672714    Earth           Penumbra    9             2089.3154940
23 Jul 2014 01:34:10.520    23 Jul 2014 01:34:19.601      9.0814742027    Earth           Penumbra    10            2089.9970317
23 Jul 2014 01:34:19.601    23 Jul 2014 02:08:51.493      2071.8919589    Earth           Umbra       10            2089.9970317
23 Jul 2014 02:08:51.493    23 Jul 2014 02:09:00.517      9.0235985233    Earth           Penumbra    10            2089.9970317
23 Jul 2014 03:11:45.898    23 Jul 2014 03:11:54.970      9.0721731191    Earth           Penumbra    11            2090.6980101
23 Jul 2014 03:11:54.970    23 Jul 2014 03:46:27.582      2072.6117580    Earth           Umbra       11            2090.6980101
23 Jul 2014 03:46:27.582    23 Jul 2014 03:46:36.596      9.0140789864    Earth           Penumbra    11            2090.6980101
23 Jul 2014 04:49:21.197    23 Jul 2014 04:49:30.260      9.0626812424    Earth           Penumbra    12            2091.3939912
23 Jul 2014 04:49:30.260    23 Jul 2014 05:24:03.586      2073.3268649    Earth           Umbra       12            2091.3939912
23 Jul 2014 05:24:03.586    23 Jul 2014 05:24:12.591      9.0044450364    Earth           Penumbra    12            2091.3939912
23 Jul 2014 06:26:56.424    23 Jul 2014 06:27:05.477      9.0529982583    Earth           Penumbra    13            2092.0834975
23 Jul 2014 06:27:05.477    23 Jul 2014 07:01:39.513      2074.0357903    Earth           Umbra       13            2092.0834975
23 Jul 2014 07:01:39.513    23 Jul 2014 07:01:48.508      8.9947089320    Earth           Penumbra    13            2092.0834975
23 Jul 2014 08:04:31.625    23 Jul 2014 08:04:40.668      9.0434123995    Earth           Penumbra    14            2092.7808189
23 Jul 2014 08:04:40.668    23 Jul 2014 08:39:15.420      2074.7522598    Earth           Umbra       14            2092.7808189
23 Jul 2014 08:39:15.420    23 Jul 2014 08:39:24.406      8.9851466473    Earth           Penumbra    14            2092.7808189
23 Jul 2014 09:42:06.880    23 Jul 2014 09:42:15.915      9.0344495256    Earth           Penumbra    15            2093.5151965
23 Jul 2014 09:42:15.915    23 Jul 2014 10:16:51.420      2075.5046738    Earth           Umbra       15            2093.5151965
23 Jul 2014 10:16:51.420    23 Jul 2014 10:17:00.396      8.9760731324    Earth           Penumbra    15            2093.5151965
23 Jul 2014 11:19:42.131    23 Jul 2014 11:19:51.157      9.0256614145    Earth           Penumbra    16            568.68013123
23 Jul 2014 11:19:51.157    23 Jul 2014 11:29:10.811      559.65446981    Earth           Umbra       16            568.68013123

Number of individual events : 46
Number of total events      : 16
Maximum duration (s)        :   2093.5151965
Maximum duration at the 15th eclipse.


