CubeSat.ElapsedSecs,GroundStation1.EarthFixed.X,GroundStation1.EarthFixed.Y,GroundStation1.EarthFixed.Z,Sun.EarthFixed.X,Sun.EarthFixed.Y,Sun.EarthFixed.Z,CubeSat.EarthFixed.X,CubeSat.EarthFixed.Y,CubeSat.EarthFixed.Z,CubeSat.Earth.BetaAngle,CubeSat.EulerAngle1,CubeSat.EulerAngle2,CubeSat.EulerAngle3,CubeSat.EarthFixed.VX,CubeSat.EarthFixed.VY,CubeSat.EarthFixed.VZ
0,-633.1672917014699,-5113.638504724576,3759.554502447771,140728872.7523526,23112259.49558729,52559057.3982683,-2660.667142833529,-6504.126041397679,10.03642298867132,-18.67534767769463,180,-0,45,4.458091331616522,-1.81547037071208,5.325503947875175
42.09560437593609,-633.1672915642882,-5113.638504533918,3759.554502730207,140799047.8683679,22681366.55859717,52558812.10290705,-2470.588367203763,-6574.508216944361,234.1300836835647,-18.67516972767213,-178.1714777392272,1.827589369546923,45.02927033813332,4.57148953240211,-1.528001020056508,5.319574089656789
67.63878394849598,-633.16729170147,-5113.638504724578,3759.554502447771,140840986.2840308,22419801.0370282,52558663.25887478,-2352.9797923098,-6611.296667645086,369.9037895276143,-18.67499287833666,-177.0603678597091,2.935761803908532,45.075586497675,4.636655075603907,-1.352351401944833,5.310675798472221
75.21350114839152,-633.1672916767109,-5113.63850469032,3759.554502498537,140853329.529033,22342219.98782469,52558619.11964084,-2317.787133388612,-6621.342530008214,410.1179736684117,-18.67493017692494,-176.7304858572262,3.26419190846216,45.09347851112701,4.655441906473411,-1.300109543860487,5.307268569956841
83.43689687317237,-633.1672916497928,-5113.638504653158,3759.554502553618,140866681.4353128,22257987.41235041,52558571.20034111,-2279.420684803157,-6631.800397855033,453.7451840165541,-18.67485674287717,-176.3721080715597,3.6206251353324,45.11506018677283,4.675556699929826,-1.243320735651486,5.303172015397698
88.70921193156391,-633.1672916325086,-5113.638504629347,3759.554502588914,140875215.322706,22203978.67593385,52558540.47749822,-2254.736034149543,-6638.259507789645,481.6977552778981,-18.67480671125805,-176.1421920985082,3.849073754884676,45.13008008596419,4.688298510761744,-1.206873176425879,5.30032797828818
95.95609194366261,-633.1672916087259,-5113.638504596641,3759.554502637407,140886911.49292,22129737.47993813,52558498.2483976,-2220.697616266568,-6646.82391000605,520.0936200022071,-18.67473414279683,-175.8259656382574,4.162978243517123,45.15223576809186,4.705614509160988,-1.156729003382847,5.296141565188288
118.4450444066897,-633.1672915347096,-5113.638504495296,3759.554502787721,140922958.635732,21899308.61619201,52558367.20000827,-2114.281373863613,-6671.085094971657,639.0350466846223,-18.67448069417245,-174.8429366567944,5.13625648232225,45.23215368738026,4.757882381744523,-1.000804885911807,5.281109266488405
187.7931865397841,-633.1672917014713,-5113.638504724579,3759.554502447772,141031742.1818401,21188378.79191292,52557963.08728144,-1779.11070405441,-6723.755796245397,1003.160472537131,-18.67342461408812,-171.7901118838471,8.126717850215444,45.58588552588934,4.90481614729625,-0.5177717677364193,5.215412520966081
280.5112469242886,-633.167291701471,-5113.638504724576,3759.554502447771,141171581.5995372,20237028.93347597,52557422.77948453,-1316.533159499309,-6741.735547681976,1480.956643499117,-18.67135029705878,-167.6338716788307,12.08724210730967,46.31796025210933,5.066612204658249,0.1298798037393744,5.082505166394296
